Address,Area_Name,Collision_Count
MARTEL                       AV,Wilshire,143
WHITE OAK,West Valley,142
8TH                          ST,Newton,142
3RD,Central,141
WESTLAKE                     AV,Rampart,141
8TH,Rampart,141
WARING                       AV,Wilshire,141
JAMES M WOOD,Rampart,141
VERDUGO                      RD,Northeast,141
BURTON                       WY,Wilshire,141
HYDE PARK                    BL,77th Street,141
BARRINGTON,West LA,140
VALLEY,Hollenbeck,140
MAPLE                        AV,Central,140
113TH                        ST,Southeast,140
PACIFIC,Pacific,139
42ND                         ST,Newton,139
LASSEN                       ST,Mission,139
RODEO,Southwest,139
SUNLAND,Foothill,139
DE SOTO,Devonshire,138
87TH                         ST,Southeast,138
SATICOY,Topanga,138
AVENUE 52,Northeast,138
CHATSWORTH                   ST,Mission,137
SHERMAN,N Hollywood,137
OLYMPIC,Newton,137
1ST,Central,137
CEDROS                       AV,Van Nuys,136
110TH                        ST,Southeast,136
70TH                         ST,77th Street,136
CAHUENGA,N Hollywood,136
SAN FERNANDO,Foothill,135
OAKWOOD                      AV,Wilshire,135
84TH                         PL,77th Street,135
WILTON,Olympic,135
